epoch,total_loss,bce,kld
1,9916455.318359375,8997401.924804688,919053.4048643112
2,7296763.9482421875,5959576.0087890625,1337187.9370117188
3,6862641.4287109375,5421877.1044921875,1440764.3239746094
4,6690550.908203125,5218705.1943359375,1471845.7094726562
5,6588220.07421875,5101599.5048828125,1486620.5773925781
6,6521003.80078125,5023847.1416015625,1497156.6474609375
7,6467474.2744140625,4968881.4072265625,1498592.8608398438
8,6431912.123046875,4923676.2900390625,1508235.83984375
9,6400739.748046875,4890454.616699219,1510285.1296386719
10,6377028.7900390625,4860928.4091796875,1516100.3969726562
