epoch,total_loss,bce,commitment
1,142460274.23828125,13844891.759765625,128615382.8956837
2,4363822316.375,12383782.359375,4351438533.5625
3,32574068836.0,12375820.1484375,32561692954.0
4,100585526832.0,12011406.859375,100573515512.0
5,114662397680.0,11796886.87890625,114650600920.0
6,106382513848.0,11817193.1875,106370696848.0
7,108542798080.0,11854854.443359375,108530943304.0
8,119078555536.0,11895077.08203125,119066660640.0
9,196717103704.0,11939385.740234375,196705164464.0
10,309360442480.0,11911100.1171875,309348531312.0
11,412324775840.0,11944078.46484375,412312831680.0
12,525406315808.0,11952667.876953125,525394362624.0
13,636795909824.0,11955766.826171875,636783954656.0
14,692412787296.0,11949754.103515625,692400837888.0
15,685937691936.0,11945842.015625,685925746208.0
16,633623682208.0,11947098.37890625,633611735840.0
17,552505658708.0,11953409.23046875,552493705264.0
18,466099820512.0,11965421.078125,466087855312.0
19,393142202784.0,11977057.962890625,393130225288.0
20,322105966360.0,11986377.513671875,322093979608.0
21,251052046112.0,11996621.44140625,251040049280.0
22,189365059610.0,12013615.625,189353045804.0
23,141332022140.0,12028786.232421875,141319993668.0
24,107172706302.0,12043853.720703125,107160662382.0
25,82066289252.0,12058148.01953125,82054231082.0
26,64422982739.0,12073509.947265625,64410909293.0
27,51736826040.875,12087719.76953125,51724738415.625
28,42617732002.75,12101275.8125,42605630770.75
29,35913290926.65625,12112420.904296875,35901178570.5
30,31183481620.867188,12123235.384765625,31171358360.28328
1,142667999.2890625,13860971.6171875,128807027.73238683
2,4058624280.4375,12383498.21875,4046240777.9375
3,29332927128.0,12376199.87109375,29320550910.0
4,90152578336.0,12025006.375,90140553232.0
5,109359358736.0,11792386.263671875,109347566240.0
6,100412961152.0,11815891.939453125,100401144976.0
7,99170756872.0,11854869.25390625,99158902124.0
8,103577947140.0,11884098.16796875,103566062752.0
9,107497223264.0,11905468.69140625,107485317660.0
10,107134135232.0,11922346.61328125,107122212872.0
11,101475461248.0,11939102.314453125,101463522324.0
12,91556740016.0,11954664.203125,91544785296.0
13,80631249690.0,11971001.599609375,80619278648.0
14,67778576996.0,11984915.240234375,67766591986.0
15,56688013335.0,12002251.822265625,56676011165.0
16,46154755656.5,12021027.54296875,46142734677.25
